rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2503.06227v1,GAT-Grasp: Gesture-Driven Affordance Transfer for Task-Aware Robotic Grasping,2025,arXiv,http://arxiv.org/abs/2503.06227v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
2,arxiv:2511.03165v1,SENT Map -- Semantically Enhanced Topological Maps with Foundation Models,2025,arXiv,http://arxiv.org/abs/2511.03165v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2410.03509v1,GAP-RL: Grasps As Points for RL Towards Dynamic Object Grasping,2024,arXiv,http://arxiv.org/abs/2410.03509v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.3390/s21030816,Affordance-Based Grasping Point Detection Using Graph Convolutional Networks for Industrial Bin-Picking Applications,2021,Sensors,https://doi.org/10.3390/s21030816,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.3390/s23177502,Non-Standard Map Robot Path Planning Approach Based on Ant Colony Algorithms,2023,Sensors,https://doi.org/10.3390/s23177502,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:2511.09516v1,MAP-VLA: Memory-Augmented Prompting for Vision-Language-Action Model in Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2511.09516v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
7,arxiv:2406.10721v1,RoboPoint: A Vision-Language Model for Spatial Affordance Prediction for Robotics,2024,arXiv,http://arxiv.org/abs/2406.10721v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2206.00432v1,Evaluating Gaussian Grasp Maps for Generative Grasping Models,2022,arXiv,http://arxiv.org/abs/2206.00432v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
9,arxiv:2602.17659v1,When Vision Overrides Language: Evaluating and Mitigating Counterfactual Failures in VLAs,2026,arXiv,http://arxiv.org/abs/2602.17659v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1177/0278364919868017,Robotic pick-and-place of novel objects in clutter with multi-affordance grasping and cross-domain image matching,2019,The International Journal of Robotics Research,https://doi.org/10.1177/0278364919868017,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
11,doi:10.1109/iros.2015.7354029,Interactive affordance map building for a robotic task,2015,,https://doi.org/10.1109/iros.2015.7354029,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
12,arxiv:2511.20841v1,OVAL-Grasp: Open-Vocabulary Affordance Localization for Task Oriented Grasping,2025,arXiv,http://arxiv.org/abs/2511.20841v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.1109/cvpr52729.2023.02228,MAP: Multimodal Uncertainty-Aware Vision-Language Pre-training Model,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),https://doi.org/10.1109/cvpr52729.2023.02228,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.3390/bioengineering12070738,M3AE-Distill: An Efficient Distilled Model for Medical Vision–Language Downstream Tasks,2025,Bioengineering,https://doi.org/10.3390/bioengineering12070738,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
15,arxiv:2210.05714v4,Visual Language Maps for Robot Navigation,2022,arXiv,http://arxiv.org/abs/2210.05714v4,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.1007/s11370-026-00707-4,Oracle-grasp: zero-shot affordance-aligned robotic grasping using large multimodal models,2026,Intelligent Service Robotics,https://doi.org/10.1007/s11370-026-00707-4,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.1109/icra.2016.7487233,"Probabilistic map fusion for fast, incremental occupancy mapping with 3D Hilbert maps",2016,2016 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra.2016.7487233,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.1115/dscc2017-5383,Visual Object Tracking on the Inverse Perspective Map for Autonomous Vehicles,2017,"Volume 2: Mechatronics; Estimation and Identification; Uncertain Systems and Robustness; Path Planning and Motion Control; Tracking Control Systems; Multi-Agent and Networked Systems; Manufacturing; Intelligent Transportation and Vehicles; Sensors and Actuators; Diagnostics and Detection; Unmanned, Ground and Surface Robotics; Motion and Vibration Control Applications",https://doi.org/10.1115/dscc2017-5383,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.1109/icra57147.2024.10610712,VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra57147.2024.10610712,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
20,arxiv:2405.16692v1,Planning Robot Placement for Object Grasping,2024,arXiv,http://arxiv.org/abs/2405.16692v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
21,doi:10.31763/ijrcs.v5i2.1851,Real-Time Pose Estimation for Autonomous Vehicles Using Probabilistic Landmark Maps and Sensor Fusion,2025,International Journal of Robotics and Control Systems,https://doi.org/10.31763/ijrcs.v5i2.1851,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.3390/drones8090493,Multi-Robot Path Planning Algorithm for Collaborative Mapping under Communication Constraints,2024,Drones,https://doi.org/10.3390/drones8090493,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.1080/14689367.2011.627836,Dense distribution of chaotic maps in continuous map spaces,2011,Dynamical Systems,https://doi.org/10.1080/14689367.2011.627836,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
24,arxiv:2602.03973v1,VLS: Steering Pretrained Robot Policies via Vision-Language Models,2026,arXiv,http://arxiv.org/abs/2602.03973v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.1080/14689367.2011.554383,On the coexisting dynamics in the alternate iteration of two logistic maps,2011,Dynamical Systems,https://doi.org/10.1080/14689367.2011.554383,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.3390/s24248187,Probabilistic Attention Map: A Probabilistic Attention Mechanism for Convolutional Neural Networks,2024,Sensors,https://doi.org/10.3390/s24248187,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
27,arxiv:2107.09822v3,Bayesian Controller Fusion: Leveraging Control Priors in Deep Reinforcement Learning for Robotics,2021,arXiv,http://arxiv.org/abs/2107.09822v3,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.21437/glu.2017-17,"Interactive Robot Learning of Gestures, Language and Affordances",2017,arXiv,http://arxiv.org/abs/1711.09055v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
29,arxiv:2411.16755v1,FunGrasp: Functional Grasping for Diverse Dexterous Hands,2024,arXiv,http://arxiv.org/abs/2411.16755v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.3390/logistics9030124,ML and Statistics-Driven Route Planning: Effective Solutions Without Maps,2025,Logistics,https://doi.org/10.3390/logistics9030124,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.3390/s24206691,A Real-Time Semantic Map Production System for Indoor Robot Navigation,2024,Sensors,https://doi.org/10.3390/s24206691,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.1109/lra.2025.3619820,LAMP: Implicit Language Map for Robot Navigation,2026,arXiv,http://arxiv.org/abs/2602.11862v1,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
33,doi:10.1177/02783649241269337,Certifiably optimal rotation and pose estimation based on the Cayley map,2025,The International Journal of Robotics Research,https://doi.org/10.1177/02783649241269337,Addresses robot affordance learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Counterfactual affordance maps keeps action-critical alternatives explicit until a physical observation collapses them.
